business_id,score
--6MefnULPED_I942VcFNA,0.715908695652174
--9e1ONYQuAa-CB_Rrw7Tw,0.6666189555125733
--DaPTJW3-tB1vP-PfdTEg,0.6837439999999999
--FBCX-N37CMYDfs790Bnw,0.6803871794871795
--GM_ORV2cYS-h38DSaCLw,0.5101333333333332
--I7YYLada0tSLkORTHb5Q,0.669912962962963
--KCl2FvVQpvjzmZSPyviA,0.66536
--Ni3oJ4VOqfOEu7Sj2Vzg,0.8292999999999999
--S62v0QgkqQaVUhFnNHrw,0.6821666666666667
--SrzpvFLwP_YFwB_Cetow,0.7724566666666667
--U98MNlDym2cLn36BBPgQ,0.90625
--cZ6Hhc9F7VkKXxHMVZSQ,0.7022570731707322
--g-a85VwrdZJNf0R95GcQ,0.7314266666666666
--q7kSBRb0vWC8lSkXFByA,0.959075
--qJNlGWyvPJfBrqwp9c0w,0.6613521739130436
--ujyvoQlwVoBgMYtADiLA,0.637246
-01XupAWZEXbdNbxNg5mEg,0.7581732142857139
-050d_XIor1NpCuWkbIVaQ,0.7183829268292681
-05uZNVbb8DhFweTEOoDVg,0.9524
-06-Fdi30wJx-JA8P7CAng,0.5667722222222223
-092wE7j5HZOogMLAh40zA,0.777142857142857
-0CTrPQNiSyClxhdO4HSDQ,0.9065307692307694
-0DET7VdEQOJVJ_v6klEug,0.6487895833333336
-0KMvRFwDWdVBeTpT11iHw,0.68945
-0NhdsDJsdarxyDPR523ZQ,0.7790666666666668
-0NrB58jqKqJfuUCDupcsw,0.6312916666666669
-0QtTRrAMn6DKLZNef3Ojg,0.88045
-0RRiWDtfnS16AKCtfvBZg,0.9516600000000001
-0Sgh0QlUKVsWosCWJzGqQ,0.7013730769230768
-0T0jfPnuBRdpNTXpOQZcA,0.37058
-0WegMt6Cy966qlDKhu6jA,0.7147477272727272
-0aIra_B6iALlfqAriBSYA,0.70626
-0aOudcaAyac0VJbMX-L1g,0.7801333333333332
-0mm8pqBSIOYZQHeo8XnkA,0.5142655172413793
-0tgMGl7D9B10YjSN2ujLA,0.7265567901234569
-0uEqc2vw1xXtuI_r1xTNg,0.4935333333333334
-153AjTW5luZPK4omEujWA,0.533525
-17CAGmIRBHpPFlWBTDGuw,0.9897
-1CI4H3DLkI-NdWLbIae6g,0.43045
-1HW4ALuB331RgjwHOA0Nw,0.9417500000000001
-1UMR00eXtwaeh59pEiDjA,0.7031717213114755
