b'rDMptJYWtnMhpQu_rRXHng',33.6070702,-112.0643825,b'Phoenix',1.0,1.0,10
b'1WBkAuQg81kokZIPMpn9Zg',33.60731,-112.063404,b'Phoenix',3.0,2.0,232
b'iPa__LOhse-hobC2Xmp-Kw',33.508764899999996,-112.04624,b'Phoenix',3.0,1.0,34
b'YhV93k9uiMdr3FlV4FHjwA',33.4499672,-112.07022250000001,b'Phoenix',5.0,,4
b'QkG3KUXwqZBW18A9k1xqCA',33.4787353,-112.2213794,b'Phoenix',2.5,2.0,37
b'5XejqzaFmtkZMstJS5Iy-w',33.480301399999995,-112.0805864,b'Phoenix',4.0,1.0,37
b'2v-8QQfMLX2PCz-0S6gISQ',33.5528695,-112.1337118,b'Phoenix',2.5,2.0,7
b'M3uV9Y3EDSpy9d4YwyNSAQ',33.5823628,-112.1498845,b'Phoenix',4.0,2.0,66
b'U1ZVgF-kfkvv_rcoe0RglQ',33.4887595,-112.08240179999999,b'Phoenix',4.5,1.0,172
b'FfI9FOaQqzUxixw6_glt3Q',33.8649643,-112.1388202,b'Phoenix',3.0,2.0,6
b'3b4efqz06QrLQ_w2xLc4pA',33.5803023,-112.1196529,b'Phoenix',3.0,2.0,40
b'irYAkavSVtIEyGOsHK-yPw',33.4667324,-112.0727233,b'Phoenix',3.5,2.0,43
b'_eKvk2GoGKb3CoYolHgRlg',33.347893,-111.97682179999998,b'Phoenix',4.5,2.0,88
b'qB15WElGAlI_eGWjn0kT2w',33.6259,-112.0136,b'Phoenix',2.0,1.0,18
b'rSCevr5tQJTxPzMIq3n5Gw',33.4356207,-112.00954569999999,b'Phoenix',2.5,1.0,14
b'to2cGMKdaw7ZHbXMzpfhlA',33.4660114,-112.0123338,b'Phoenix',3.0,,7
b'X2oxkKB-wlu8xV0P8fbfiQ',33.4800487,-112.13470179999999,b'Phoenix',3.0,1.0,10
b'vhKUBKcOm8zOLxeS3XM9iA',33.6418473,-111.99557079999998,b'Phoenix',3.0,2.0,67
b'frCxZS7lPhEnQRJ3UY6m7A',33.469201,-112.047393,b'Phoenix',4.0,2.0,1694
b'l0WauZ92kRg9bu2oxHj4TQ',33.607105,-112.063427,b'Phoenix',4.0,2.0,130
b'Yar8jR2a1XA2JuRKfmNDcw',33.6259523,-112.1343378,b'Phoenix',5.0,2.0,3
b'qVQGfHphxolps16v6g5X-g',33.6308568,-112.03092439999999,b'Phoenix',3.5,2.0,67
b'Q9zcPQit3OMWoNRLLK7MQg',33.65563,-111.927745,b'Phoenix',3.5,1.0,75
b'TolwZ3L28or4E8SVTZUf6Q',33.53787131,-112.05516100000001,b'Phoenix',4.0,2.0,157
b'3w66rzZq_rjA1kSmVt5Hew',33.65565301,-112.0120321,b'Phoenix',3.5,1.0,6
b'9KzLFQrA_tSBGVDNeZrB8Q',33.606054799999995,-112.06639969999999,b'Phoenix',3.5,1.0,3
b'Ld2hhA3q3cdkptwS1fsYEg',33.71450555,-112.11223840000001,b'Phoenix',4.0,1.0,80
b'r0byBoB7y_IH8uicEvyCqQ',33.4942339,-112.05974109999998,b'Phoenix',3.0,2.0,5
b'BVYvfJiVcQTl9B311z518w',33.4884218,-112.0823702,b'Phoenix',3.5,2.0,27
b'aRRV_ZbRiD65SIi7vAY-iA',33.6264184,-112.01324640000001,b'Phoenix',1.0,2.0,3
b'yX0pOWG_Be9TjGnm0aihVA',33.62745993,-111.97845559999999,b'Phoenix',3.0,2.0,327
b'WaTXG26xbOGffSscvyr-wQ',33.4483771,-112.07403729999999,b'Phoenix',3.5,2.0,38
b'ahfAFuFHO9tfFkoBIkVdmg',33.6113539,-111.99855929999998,b'Phoenix',4.5,2.0,95
b'kplbTXzOaUJqP2BwanoYjw',33.63076848,-112.03124170000001,b'Phoenix',4.5,2.0,38
b'UrX0UEejKhHzk158VxlQzA',33.61956406,-112.11985020000002,b'Phoenix',4.0,1.0,8
b'gKqzpzg2MmINROrgWqalOg',33.6386869,-112.1000291,b'Phoenix',2.5,2.0,52
b'Ndozr_--5-wzyDJ2T7TfpQ',33.525883799999995,-112.047946,b'Phoenix',3.0,2.0,9
b'NihPkBRdA1AixuE_98tIrg',33.4943244,-112.0654164,b'Phoenix',3.0,1.0,31
b'RQdKieW9hqg898d_S2WwRA',33.5076828,-112.04596940000002,b'Phoenix',3.5,1.0,87
b'1hrX1vHaUgllWH6i876oAw',33.4499672,-112.07022250000001,b'Phoenix',5.0,,4
b'cTJjTKz2huGZ-ElScC2pSw',33.513575,-112.07338100000001,b'Phoenix',4.0,2.0,977
b'Q47FjaMLjI3v6yo-PHIebQ',33.449568,-112.0740163,b'Phoenix',3.0,1.0,5
b'tylsscXmLq03-DzGI36bIA',33.47919004,-112.03148780000001,b'Phoenix',3.0,2.0,6
b'L7os7OGSQ2_evJRLvQg9dw',33.4660683,-112.03065819999999,b'Phoenix',3.5,1.0,11
b'Lvr6DdVkFI8IMGfRvUcXQA',33.466332,-112.15348300000001,b'Phoenix',1.0,1.0,3
b'tvlHgHfBsmmNFbnFE06sgA',33.509028,-112.09276509999998,b'Phoenix',4.0,1.0,7
b'Lqp3uwGJU6CHyys-eerMmQ',33.45107,-112.055957,b'Phoenix',4.0,1.0,153
b'Lv2V5KqRlCl7_S6LKWkGlg',33.4534741,-112.0711732,b'Phoenix',3.0,1.0,9
b'cOWXtCz7F9GQhPIks8gm6Q',33.50845664,-112.0276717,b'Phoenix',4.5,2.0,268
b'7m1Oa1VYV98UUuo_6i0EZg',33.63991349,-111.99570349999999,b'Phoenix',4.5,1.0,1019
b'LcYrqMhUO_TITSXFk_SjJA',33.67698791,-111.97622620000001,b'Phoenix',3.5,2.0,115
b'iGvnkEz2efD9q-Z7ZcasWQ',33.4954365,-112.01978559999999,b'Phoenix',1.5,1.0,8
b'-voRkfS42YKYsrJ9DV0FxQ',33.378500800000005,-112.0286997,b'Phoenix',2.5,1.0,28
b'ZVtjS8Hvq2a6SxHxlehPGg',33.53083136,-112.0133682,b'Phoenix',4.5,2.0,159
b'sfGYIlU3ji6V3c0aWyny5A',33.494652,-112.22216759999999,b'Phoenix',4.0,1.0,12
b'piHJq_NDrOh5SYk3AyQVOg',33.50982558,-111.9870976,b'Phoenix',3.0,2.0,238
b'GmLkyWb_zYrTEp1SpWxHIA',33.5082688,-112.0317156,b'Phoenix',4.5,2.0,71
b'4NfjvMzUG5rbkxtPg-8pkw',33.5386355,-112.04838219999999,b'Phoenix',2.5,1.0,26
b'nwHd2MbIGz0SNG8GpFjekw',33.5395733,-112.048346,b'Phoenix',4.0,1.0,334
b'YWjfWHizWgHSsAPGfQChXw',33.3787187,-111.97966699999999,b'Phoenix',2.0,1.0,23
b'qgHx71_UAWHRySTPMaAJqw',33.5123661,-112.1141992,b'Phoenix',3.0,2.0,53
b'm8qJtl3l6QXJMnNxN6LQRQ',33.4951613,-112.00414520000001,b'Phoenix',3.5,,9
b'9VEJkUd0eHIlKmCu0flvBw',33.39564992,-112.07373999999999,b'Phoenix',3.5,,7
b'STmoasVuj_h-XYqqPEoxTg',33.4949799,-112.22340009999999,b'Phoenix',1.5,1.0,12
b'T-KniGykrZ46ZC9plOTspw',33.4963856,-112.08398319999999,b'Phoenix',4.5,1.0,460
b'9y1uLUHxZ3m_4KzydQj9YQ',33.47979476,-111.9941908,b'Phoenix',3.0,1.0,30
b'FTdEGDDVRrDmVbzHmC91wQ',33.64086681,-112.05855890000001,b'Phoenix',4.0,2.0,60
b'xsFeeqZS6PoVvwseEefzEw',33.4558709,-112.07228319999999,b'Phoenix',3.5,2.0,113
b'XAt9Km4EIM6EE7LXwfB2Vg',33.64002979999999,-112.03133400000002,b'Phoenix',3.0,1.0,11
b'-LVpf-mKjrWT51JgCY3gRQ',33.60280144,-111.9781338,b'Phoenix',4.0,1.0,105
b'3l5TusofKjr8rk6-DDtuoQ',33.6381711,-112.0626543,b'Phoenix',3.5,2.0,130
b'83cVpTJNyzv9lJ20vzBgdg',33.4940588,-111.99582679999999,b'Phoenix',4.0,1.0,80
b'aIZQF2UCLv6ru-zsPK4H2Q',33.399961,-112.0294348,b'Phoenix',4.5,2.0,349
b'2ADoawEfSAZpnQSwVEo5Ig',33.642626799999995,-112.1003364,b'Phoenix',2.0,1.0,15
b'ZDdEtIFhLsoydDvB8joYrA',33.6556294,-112.01546499999999,b'Phoenix',3.5,1.0,6
b'jFVcpqn1Q85AEDGQDv91mg',33.63952671,-112.0328321,b'Phoenix',4.0,1.0,17
b'sgyc0SN3pWJWTYc9w-PVmQ',33.5682459,-112.100125,b'Phoenix',3.5,,5
b'p9uc6E8UR9Y3Bftj8g5AZA',33.6550622,-112.1335065,b'Phoenix',2.0,1.0,12
b'4c1IWqXjJxcdV9Y91xsJNQ',33.3990049,-112.0724706,b'Phoenix',3.5,1.0,5
