b'gEJZ5USuvC1r8_QvSvDCNA',b'kyXEnWKQGWSThY6EcjORuw',Champaign,3.5,4.0,1.0,1.0,0.9521127003951952
b'gEJZ5USuvC1r8_QvSvDCNA',b'zV_aclADLjx2KOql9F_FTw',Champaign,3.5,3.0,1.0,1.0,0.5718943862184364
b'kyXEnWKQGWSThY6EcjORuw',b'gEJZ5USuvC1r8_QvSvDCNA',Champaign,4.0,3.5,1.0,1.0,0.9521127003951952
b'kyXEnWKQGWSThY6EcjORuw',b'zV_aclADLjx2KOql9F_FTw',Champaign,4.0,3.0,1.0,1.0,0.3803169120902811
b'zV_aclADLjx2KOql9F_FTw',b'gEJZ5USuvC1r8_QvSvDCNA',Champaign,3.0,3.5,1.0,1.0,0.5718943862184364
b'zV_aclADLjx2KOql9F_FTw',b'kyXEnWKQGWSThY6EcjORuw',Champaign,3.0,4.0,1.0,1.0,0.3803169120902811
b'7J_8O6w79raFRSORc3bRew',b'jf_h_Y8iNaduXJvpgLRPng',Chandler,4.0,3.0,1.0,2.0,1.738108259511881
b'7J_8O6w79raFRSORc3bRew',b'mFE7N0p3f_7vcMTUy76ifw',Chandler,4.0,3.5,1.0,2.0,2.073946756576662
b'88ntJxZNxRIY8W_hji9pzg',b'Jd2NUZeVeyWi1tTNKXMt1Q',Chandler,3.5,4.0,2.0,2.0,2.947418992125153
b'88ntJxZNxRIY8W_hji9pzg',b'mZK8IBkMFzOX2UmA7_BylA',Chandler,3.5,2.5,2.0,1.0,1.0585154903675402
b'88ntJxZNxRIY8W_hji9pzg',b'owwKUc2VFUMgRPZFEgrtKA',Chandler,3.5,4.0,2.0,1.0,1.4114079604002339
b'9zSRAOUIM3I2ZnY9xwvioQ',b'hL3LFrwR1UQ-d0CcYF73Sg',Chandler,3.0,3.5,1.0,2.0,2.4897632924963853
b'Jd2NUZeVeyWi1tTNKXMt1Q',b'88ntJxZNxRIY8W_hji9pzg',Chandler,4.0,3.5,2.0,2.0,2.947418992125153
b'Jd2NUZeVeyWi1tTNKXMt1Q',b'owwKUc2VFUMgRPZFEgrtKA',Chandler,4.0,4.0,2.0,1.0,2.8482101732429475
b'hL3LFrwR1UQ-d0CcYF73Sg',b'9zSRAOUIM3I2ZnY9xwvioQ',Chandler,3.5,3.0,2.0,1.0,2.4897632924963853
b'hzMhB8ft6ewaxbZnEcy5pw',b'lWrmZLPvfIFq-ufyJTeNiQ',Chandler,4.0,3.5,2.0,1.0,2.3953041596583042
b'jf_h_Y8iNaduXJvpgLRPng',b'7J_8O6w79raFRSORc3bRew',Chandler,3.0,4.0,2.0,1.0,1.738108259511881
b'jf_h_Y8iNaduXJvpgLRPng',b'mFE7N0p3f_7vcMTUy76ifw',Chandler,3.0,3.5,2.0,2.0,0.400776374745197
