"b'VHchdLl_QVtStqx13vENbA'"	[1.6487603305785123, 3.543388429752066, 71.6694214876033]
"b'VHl_CX2rfWviSQdvrpmnyw'"	[1.76, 3.475, 70.42333333333333]
"b'VMcUG1dw4ldI_ldA2lGyEA'"	[1.7790697674418605, 3.627906976744186, 90.41279069767442]
"b'VQGetWNN1f0dMWQ6ehDAVg'"	[1.7508305647840532, 3.4767441860465116, 70.13953488372093]
"b'VSo34eZH-0u-CMyLpXD1qQ'"	[2.0, 3.5, 68.0]
"b'VUOn9pztnaEX49Xfb_9L7A'"	[1.7797202797202798, 3.4667832167832167, 70.76573426573427]
"b'VUb97h3RTg6InKdfgB49Bw'"	[1.6666666666666667, 3.5277777777777777, 65.56666666666666]
"b'VV4NAmS0KJ8A8xOcQnKB6A'"	[1.6777777777777778, 3.5444444444444443, 61.36666666666667]
"b'VXTReQT3Bqte_Liu58scdw'"	[1.4285714285714286, 3.25, 25.357142857142858]
"b'V_CzgZ8maFoKv9t-LgcjDg'"	[1.782006920415225, 3.463667820069204, 70.2076124567474]
"b'VbPPexfp8wa7Fjqp3tRDmw'"	[1.44, 3.52, 19.92]
"b'Vc8sXKEdO9yVxbRlwBFHKQ'"	[1.7891156462585034, 3.477891156462585, 70.2312925170068]
"b'Vj-QgRXDpCm7vLBBSckx8g'"	[1.7533783783783783, 3.4763513513513513, 67.9695945945946]
"b'Vkz7c2EDh7ydELK8Za0obQ'"	[1.6527777777777777, 3.6296296296296298, 72.85185185185185]
"b'VodyCVoc3QUoEsi0rv0opg'"	[1.7533783783783783, 3.4746621621621623, 67.96621621621621]
"b'Vu6yNbKinh-54QT8i27LCw'"	[1.5106382978723405, 3.5425531914893615, 55.234042553191486]
"b'Vv7aXgWg2TEXfrfE_-FFrA'"	[1.2777777777777777, 3.75, 25.61111111111111]
"b'VyqC3N2iBtR6PczQGafe5w'"	[1.5, 3.59375, 33.375]
"b'Vz6JVuA6guXVBIMJF-2g3g'"	[1.368421052631579, 3.710526315789474, 21.789473684210527]
"b'W07TY9cx2ZpDQyAn0ynMQg'"	[1.673913043478261, 3.532608695652174, 65.58695652173913]
"b'W1hXfgnugKfVV1wDhko5lw'"	[1.768729641693811, 3.57328990228013, 87.02931596091206]
"b'W6_HAvErr18PWOyIUCDdSA'"	[1.25, 2.25, 5.0]
"b'W80o5A-ajAznRWO3E5J7EQ'"	[1.2222222222222223, 2.9444444444444446, 11.666666666666666]
