"b'--g-a85VwrdZJNf0R95GcQ'"	[1.4509803921568627, 3.4901960784313726, 68.70588235294117]
"b'-050d_XIor1NpCuWkbIVaQ'"	[1.6044303797468353, 3.5332278481012658, 143.06012658227849]
"b'-0WegMt6Cy966qlDKhu6jA'"	[1.6273062730627306, 3.5313653136531364, 147.52767527675277]
"b'-0aIra_B6iALlfqAriBSYA'"	[1.8309859154929577, 3.2746478873239435, 121.80281690140845]
"b'-0tgMGl7D9B10YjSN2ujLA'"	[1.5625, 3.5625, 133.3125]
"b'-1UMR00eXtwaeh59pEiDjA'"	[1.6417910447761195, 2.970149253731343, 86.22388059701493]
"b'-2isRNVb6PDuBagELL5EBw'"	[1.3035714285714286, 3.3125, 51.857142857142854]
"b'-8JaNeG3etLgOVyg2gOIiA'"	[1.56, 3.7266666666666666, 210.16]
"b'-9eNGMp8XiygI8t8QFuFWw'"	[1.4444444444444444, 3.2777777777777777, 48.666666666666664]
"b'-A9sm-E6uQxWTJ_MuyOzFw'"	[2.129032258064516, 3.693548387096774, 171.3709677419355]
"b'-Bdw-5H5C4AYSMGnAvmnzw'"	[1.36986301369863, 3.6027397260273974, 144.76712328767124]
"b'-Bo1rsE6Mfn0wdqnIj3GSA'"	[1.4193548387096775, 3.370967741935484, 69.7741935483871]
"b'-BxWyEIQ6wypT-37MzZizQ'"	[1.5928338762214984, 3.560260586319218, 151.11400651465797]
"b'-DrDzpZaMrNnH55ZVyTXRQ'"	[1.9310344827586208, 3.7327586206896552, 167.8706896551724]
"b'-Du1WSRseqUXbCt_K-D-ww'"	[1.4782608695652173, 3.4130434782608696, 70.47826086956522]
"b'-FWhwGTP9YsV_5ONgdQ4hg'"	[1.62876254180602, 3.536789297658863, 146.80936454849498]
"b'-FveSBaantlFExq__ESLcw'"	[1.6101694915254237, 3.406779661016949, 109.96610169491525]
"b'-H1-IzxW6CXmjhmF5F6iMA'"	[1.5277777777777777, 3.361111111111111, 79.08333333333333]
"b'-HO8ejDGgvj_Guw3R6lH1g'"	[1.3571428571428572, 3.25, 41.714285714285715]
"b'-HfeXGN4O83x8P4rZc-_kQ'"	[1.3181818181818181, 3.022727272727273, 15.409090909090908]
"b'-Ht7HiGBox8lS1Y8IPjO8g'"	[1.462686567164179, 3.611940298507463, 132.73134328358208]
"b'-ITj6Pu8Gdw8MmLf0XBEKQ'"	[1.7258064516129032, 3.25, 117.38709677419355]
"b'-Iu6EwsbZQZY8HTBN853Iw'"	[1.1428571428571428, 3.380952380952381, 68.47619047619048]
"b'-J-d5x84RuyLNiUzOhO_6A'"	[1.3125, 3.296875, 70.140625]
"b'-JwSuDqyFILFJmVpjrVbwA'"	[1.4210526315789473, 3.245614035087719, 67.05263157894737]
"b'-K3kqmykKlhlB4arCsLHOw'"	[1.4042553191489362, 3.478723404255319, 64.76595744680851]
"b'-KIdCJnkt5N8rnnmWR5MQg'"	[1.5670103092783505, 3.61340206185567, 161.9278350515464]
"b'-LVpf-mKjrWT51JgCY3gRQ'"	[1.4266666666666667, 3.3866666666666667, 83.12]
"b'-Ma5JqzuI_3xIAtpNJfQ2g'"	[1.411764705882353, 3.4705882352941178, 41.11764705882353]
"b'-OmQXmGomWfJNi449Uh99g'"	[1.2647058823529411, 3.3088235294117645, 24.58823529411765]
"b'-OuTv9a9_MabQjyiZx2Stw'"	[1.1, 2.975, 26.5]
"b'-PJgh1XoQBMnnSgg6MhmMA'"	[1.1875, 3.625, 58.4375]
"b'-QIQLK8RR6rl7v19cAQQHg'"	[1.6888888888888889, 3.4, 107.02222222222223]
"b'-RYIKWBSTaJ21B2UMyzI-Q'"	[1.540983606557377, 3.4098360655737703, 88.09836065573771]
"b'-TVXOYL6kvKP1uW6ND9PIg'"	[1.1666666666666667, 3.5, 18.5]
"b'-TWZ4-AM76pUxPIt47mInw'"	[1.7826086956521738, 3.289855072463768, 119.23188405797102]
"b'-UXH_mn5SLip3MMiaGM69g'"	[1.1176470588235294, 3.676470588235294, 19.41176470588235]
"b'-WjQWbAIGyJE4vYJYUZjSQ'"	[1.0, 3.875, 27.0]
"b'-X9QS8l7u5R3CswmfZtn-Q'"	[1.4266666666666667, 3.38, 83.94666666666667]
